month,total_loans,total_defaults,stealth_defaults,captured_defaults,realized_default_rate,stealth_default_rate,macro_stress_score,uncertainty_pressure,liquidity_disruption,unemployment_rate,fed_funds_rate,cpi_inflation,treasury_spread,recession_indicator,spy_monthly_return,spy_monthly_vol,vix_monthly_mean,regime
2009-08-01,408,40,32,8,0.09803921568627451,0.8,0.3395,0.49,0.0,9.6,0.16,-1.4838355663267633,2.4719047619047623,0.0,0.0369398079757115,0.16404913988204298,25.33714285350981,High
2009-09-01,449,57,41,16,0.12694877505567928,0.7192982456140351,0.316,0.49,0.0,9.8,0.15,-1.377942862886472,2.4457142857142857,0.0,0.03545718913861928,0.15142204660214897,24.926666713896253,High
2009-10-01,545,87,72,15,0.1596330275229358,0.8275862068965517,0.279,0.46,0.0,10.0,0.12,-0.22396829420033848,2.4385714285714286,0.0,-0.01922531921890247,0.21199998211796883,24.252272865988992,High
2009-11-01,602,83,68,15,0.1378737541528239,0.8192771084337349,0.315,0.44,0.0,9.9,0.12,1.9145871744709275,2.599473684210526,0.0,0.06160650365555442,0.15256469059722988,23.783499908447265,High
2009-12-01,598,62,47,15,0.10367892976588629,0.7580645161290323,0.2945,0.44,0.0,9.9,0.12,2.8141231232083674,2.7154545454545453,0.0,0.019101231510327388,0.10435773015303564,21.239545475352894,High
2010-01-01,589,76,61,15,0.12903225806451613,0.8026315789473685,0.2764999999999999,0.43,0.0,9.8,0.11,2.6211113889767157,2.8042105263157895,0.0,-0.03634241357640844,0.16699427778558745,20.643157758210833,High
2010-02-01,627,63,47,16,0.10047846889952153,0.746031746031746,0.265,0.42,0.0,9.8,0.13,2.151336357866529,2.8342105263157897,0.0,0.03119450484039521,0.17486479588796458,22.540000012046413,High
2010-03-01,737,69,61,8,0.09362279511533243,0.8840579710144928,0.282,0.44,0.0,9.9,0.16,2.2861714393279886,2.7686956521739132,0.0,0.06088012770035478,0.07551817385842281,17.767391287762187,High
2010-04-01,827,82,62,20,0.09915356711003627,0.7560975609756098,0.286,0.47,0.0,9.9,0.2,2.2067707525304403,2.786363636363636,0.0,0.015469455305196611,0.1506472522847242,17.42428566160656,High
2010-05-01,920,125,80,45,0.1358695652173913,0.64,0.2575,0.45,0.0,9.6,0.2,2.003548929218568,2.5895,0.0,-0.07945458404092853,0.3202867610270405,31.929500007629393,High
2010-06-01,1029,166,90,76,0.16132167152575316,0.5421686746987951,0.4985,0.49,0.06,9.4,0.18,1.1215605940686268,2.4795454545454545,0.0,-0.05174037521001151,0.2552218206443861,29.91636371612549,High
2010-07-01,1119,137,77,60,0.1224307417336908,0.5620437956204379,0.2575,0.46,0.02,9.4,0.18,1.3407784804821077,2.394761904761905,0.0,0.06830044397428048,0.19701570163106247,25.565237862723215,High
2010-08-01,1078,148,73,75,0.137291280148423,0.49324324324324326,0.277,0.46,0.0,9.5,0.19,1.1501775395112546,2.178181818181818,0.0,-0.04498039966894385,0.17569477136691372,24.745908997275613,High
2010-09-01,1087,175,91,84,0.1609935602575897,0.52,0.229,0.43,0.0,9.5,0.19,1.1183122472331775,2.1676190476190476,0.0,0.08955456790313021,0.15683779111350546,22.51761899675642,Medium
2010-10-01,1133,161,86,75,0.14210061782877317,0.5341614906832298,0.2074999999999999,0.41,0.0,9.4,0.19,1.1666951489314625,2.164,0.0,0.038202106455897056,0.10356403550005204,20.3733332497733,Medium
2010-11-01,1121,142,81,61,0.12667261373773417,0.5704225352112676,0.1845,0.38,0.0,9.8,0.19,1.084544776600338,2.309,0.0,2.220446049250313e-16,0.14908425926620128,20.095714387439546,Medium
2010-12-01,1269,143,85,58,0.11268715524034673,0.5944055944055944,0.1615,0.35,0.0,9.3,0.18,1.437793022217937,2.6727272727272724,0.0,0.0668521991856359,0.08588802290639574,17.569545529105447,Medium
