month,total_loans,total_defaults,stealth_defaults,captured_defaults,realized_default_rate,stealth_default_rate,macro_stress_score,uncertainty_pressure,liquidity_disruption,unemployment_rate,fed_funds_rate,cpi_inflation,treasury_spread,recession_indicator,spy_monthly_return,spy_monthly_vol,vix_monthly_mean
2011-04-01,1563,222,120,102,0.1420345489443378,0.5405405405405406,0.1395,0.31,0.0,9.1,0.1,3.0772344447868694,2.7205000000000004,0.0,0.02896130539862618,0.08834084408980739,16.244000005722047
2011-05-01,1704,290,125,165,0.17018779342723006,0.43103448275862066,0.126,0.31,0.0,9.0,0.09,3.4589718808964998,2.6133333333333333,0.0,-0.011214584945043127,0.10738920394906362,16.911428587777273
2011-06-01,1835,271,139,132,0.14768392370572206,0.5129151291512916,0.1245,0.31,0.0,9.1,0.09,3.5023181506360412,2.591818181818182,0.0,-0.01686940052287622,0.1652021694385498,19.15318202972412
2011-07-01,1875,282,142,140,0.1504,0.5035460992907801,0.0985,0.3,0.0,9.0,0.07,3.5798809769996165,2.5965,0.0,-0.02000451815675186,0.15627367127628972,19.22749991416931
2011-08-01,1934,271,141,130,0.14012409513960702,0.5202952029520295,0.0985,0.29,0.0,9.0,0.1,3.75499603070808,2.072608695652174,0.0,-0.054976048289993695,0.4595877257317608,35.02913035517154
2011-09-01,2067,308,159,149,0.1490082244799226,0.5162337662337663,0.2405,0.3,0.0,9.0,0.08,3.812621692818685,1.7638095238095237,0.0,-0.0694202088941619,0.29006134052711374,36.52999977838425
2011-10-01,2118,313,175,138,0.147780925401322,0.5591054313099042,0.32,0.3,0.0,8.8,0.07,3.5222681306640524,1.8715,0.0,0.10914660036235957,0.28932618409787914,32.82904770260765
2011-11-01,2232,344,163,181,0.15412186379928317,0.4738372093023256,0.3655,0.32,0.1,8.6,0.08,3.451432214581729,1.7600000000000002,0.0,-0.004063662979951088,0.3063591318047848,31.941904703776043
2011-12-01,2267,431,194,237,0.1901191001323335,0.45011600928074247,0.3715,0.33,0.21,8.5,0.07,3.062066838419386,1.720952380952381,0.0,0.010448275562936926,0.18849538752771883,25.047619047619047
2012-01-01,2602,440,243,197,0.16910069177555725,0.5522727272727272,0.232,0.38,0.0,8.3,0.08,3.0087663379855023,1.7260000000000002,0.0,0.04637489933939798,0.08733427185494176,20.227999877929687
2012-02-01,2560,421,253,168,0.164453125,0.6009501187648456,0.22,0.41,0.0,8.3,0.1,2.8981784423473878,1.6895,0.0,0.043405139071204024,0.0835134939352033,18.420499992370605
2012-03-01,2914,443,255,188,0.15202470830473575,0.5756207674943566,0.2009999999999999,0.42,0.0,8.2,0.13,2.5828752813320977,1.8281818181818181,0.0,0.032164013579824235,0.1140395250050292,16.16727287119085
2012-04-01,3230,496,261,235,0.15356037151702787,0.5262096774193549,0.1565,0.4,0.0,8.2,0.14,2.2731633741348567,1.7609523809523808,0.0,-0.00667549465230477,0.14408403670410636,17.822999906539916
2012-05-01,3400,569,299,270,0.1673529411764706,0.5254833040421792,0.142,0.38,0.0,8.2,0.16,1.7379429374660749,1.518181818181818,0.0,-0.060056225733469804,0.12963399250338403,21.001818136735395
2012-06-01,3817,714,322,392,0.18705789887346083,0.45098039215686275,0.1149999999999999,0.35,0.0,8.2,0.16,1.653870448297634,1.3304761904761906,0.0,0.04058137623520297,0.20651600159830671,21.130952290126256
2012-07-01,4627,819,373,446,0.17700453857791226,0.4554334554334554,0.1065,0.33,0.0,8.2,0.16,1.4175114798464783,1.2785714285714287,0.0,0.011829185767681105,0.140800153984781,17.565238180614653
2012-08-01,5419,884,413,471,0.1631297287322384,0.4671945701357466,0.102,0.32,0.0,8.1,0.13,1.6859349154821235,1.4095652173913045,0.0,0.02505324001078746,0.08922324091065502,15.689565119536027
2012-09-01,6087,951,463,488,0.15623459832429767,0.4868559411146162,0.0915,0.31,0.0,7.8,0.14,1.9497168982819613,1.4678947368421054,0.0,0.025350205291156946,0.11637595047053974,15.284736834074321
